# Monthly average of flow of Nile in m^3/s
# year, jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec, yearly average
1971,1296,1414,857,1412,1307,907,2048,7129,7777,3472,2141,1562,2610.17
1972,1296,1238,887,1412,1250,960,1898,4155,3402,2754,1400,955,1800.58
1973,817,595,582,991,1067,1068,1527,6309,6404,3808,1878,1164,2184.17
1974,1116,905,735,1168,1179,1107,3352,8437,7523,4218,1983,1314,2753.08
1975,1224,934,724,1184,1191,790,1866,8475,11419,5675,2496,1747,3143.75
1976,1400,1133,918,1026,993,1242,2042,6421,5671,2747,1712,1329,2219.5
1977,1022,748,675,1049,1142,1003,1993,8176,5671,3177,2492,1288,2369.67
1978,1224,938,713,883,1052,1041,2255,6869,5362,4218,1724,1205,2290.33
1979,1325,979,866,1141,1205,964,1747,5152,4089,2527,1415,1049,1871.58
1980,863,623,604,928,1134,920,1933,7257,6123,2164,1632,1076,2104.75
1981,1008,774,686,1062,1094,818,1586,6157,6597,3831,1609,1215,2203.08
1982,1008,938,706,1038,926,846,1273,3935,4074,2766,1539,1126,1681.25
1983,785,637,634,1127,862,841,993,4178,5556,2639,1782,1030,1755.33
1984,1007,924,655,1005,939,714,1829,3461,2234,1562,908,697,1327.92
